site.code,region,land.use,aeshnidae,athericidae,atyidae,baetidae,belostomatidae,bithyniidae,caenidae,calamoceratidae,calopterygidae,ceratopogonidae,chironomidae,chlorocyphidae,coenagrionidae,culicidae,dixidae,dytiscidae,elmidae,empididae,gerridae,gomphidae,gyrinidae,heptageniidae,hirudinidae,hydrobiidae,hydrophilidae,hydropsychidae,lepidostomatidae,leptoceridae,leptophlebiidae,lestidae,libellulidae,lymnaeidae,naucoridae,nematoda,nepidae,notonectidae,oligochaeta,perlidae,philopotamidae,pisuliidae,planorbidae,pleidae,polycentropodidae,protoneuridae,psephenidae,psychodidae,pyralidae,scirtidae,simuliidae,snail.unid,sphaeriidae,syrphidae,tabanidae,tipulidae,tricorythidae,turbellaria,veliidae
Kam3,Kamwenge,farm,0,2,0,0,0,0,2,0,0,0,30,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,12,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,2,0,0,0
Kam4,Kamwenge,farm,0,0,7,0,0,8,16,3,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,1,11,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
Kam5,Kamwenge,farm,0,0,6,0,0,0,40,2,0,2,10,0,109,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,8,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
For1,Kibale,park,0,7,0,1,0,0,8,39,12,1,43,0,1,0,0,0,22,0,0,1,0,4,0,0,0,31,0,0,17,1,21,0,0,0,0,0,0,7,0,35,0,0,0,0,4,0,0,0,0,0,0,2,1,9,0,7,0
For2,Kibale,park,0,12,0,1,0,0,7,33,2,1,32,2,0,0,0,1,39,0,1,0,0,1,1,0,2,74,43,1,33,0,8,0,0,0,0,0,27,0,6,22,0,2,0,0,2,0,0,4,0,0,0,8,1,7,0,62,0
For3,Kibale,park,0,21,0,0,0,0,11,52,9,0,45,1,3,0,0,1,58,0,0,0,0,4,1,0,0,31,19,0,29,0,0,0,0,1,1,0,5,0,0,11,0,1,0,0,3,0,0,0,0,0,0,0,1,6,1,28,1
For4,Kibale,park,0,1,0,0,0,0,51,22,17,0,15,2,12,0,0,1,16,0,0,0,0,0,0,1,0,40,88,3,57,0,1,0,0,0,2,0,8,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,2,16,0,49,0
For5,Kibale,park,0,2,0,1,0,0,11,20,3,0,12,0,7,0,0,0,42,0,0,1,0,0,1,0,0,19,18,0,43,0,0,0,0,0,0,0,24,0,0,27,0,0,0,0,0,0,0,0,0,0,0,5,1,14,0,37,2
For6,Kibale,park,0,2,0,0,0,0,3,15,1,0,6,1,3,0,0,0,6,0,0,0,0,2,0,0,0,3,8,0,11,0,2,0,0,0,0,0,4,1,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,21,1
For7,Kibale,park,0,0,0,2,0,0,1,1,0,0,7,0,0,0,2,0,6,0,0,0,0,0,0,1,2,8,4,0,4,0,0,5,0,0,0,0,9,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,3,10,0,9,2
For8,Kibale,park,0,3,0,8,0,0,10,0,1,3,6,0,9,0,0,0,7,0,0,1,0,0,0,0,1,12,8,0,10,0,0,1,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,10,1
For9,Kibale,park,0,4,0,0,0,0,18,26,9,0,33,0,2,0,0,0,5,0,1,0,0,7,0,0,0,18,10,0,35,0,7,0,0,2,0,0,3,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,5,1
For10,Kibale,park,0,2,0,8,0,0,7,6,3,2,24,0,5,0,1,0,2,0,0,0,0,0,9,0,1,45,20,0,9,0,0,0,0,0,1,0,6,0,4,6,1,0,0,0,3,2,0,1,1,0,0,0,0,4,0,6,1
For11,Kibale,park,0,1,0,11,0,0,71,5,5,0,90,0,15,0,0,1,21,0,0,0,0,0,0,0,0,44,29,0,7,0,3,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,0,0,0,3,3,26,0,40,0
